id,标题,作者,来源,时间,邮箱
317,Evaluation of the manufacturability of aluminum alloy 1580 for sheet stamping by computer modeling,I. L. Konstantinov;S. B. Sidelnikov;,《Non-Ferrous Metals》,"2023,",
318,Augmented reality-computer vision combination for automatic fatigue crack detection and localization,"Mohammadkhorasani, A...;Malek, Kaveh;",《Computers in Industry》,"2023,",
319,Finite element computer simulation of twinning caused by plastic deformation of sheet metal,"Dong, Fuyuan;Xu, Wang;",《Steel & Composite Structures: An International Journal》,"2023,",
320,A systematic and bibliometric review of the latest techniques in quantum-dot computers,"Li, Shenghao;Wu, Yuanyuan;",《Optik: Zeitschrift fur Licht- und Elektronenoptik: = Journal for Light-and Electronoptic》,"2023,",
321,Grammar-aware sentence classification on quantum computers,"Meichanetzidis, Kons...;Toumi, Alexis;",《Quantum Machine Intelligence》,"2023,",
322,Feature selection on quantum computers,"Muecke, Sascha;Heese, Raoul;",《Quantum Machine Intelligence》,"2023,",
323,Application of computer algorithms for modelling and numerical solution of dynamic bending,"Qiu, Jianzhong;Dai, Naichang;",《Steel & Composite Structures: An International Journal》,"2023,",
324,Kronos: towards bus contention-aware job scheduling in warehouse scale computers,Shuai XUE;Shang ZHAO;,《中国计算机科学前沿：英文版》,"2023,",
325,Wspomaganie komputerowe procesu wtryskiwania spieniajacego wyprasek wysoko estetycznych dla branzy automotive,JAKUB WAWRZYNIAK;,《Inzynieria Materialowa》,"2023,",
326,Feature-Sensitive Ring Artifact Correction for Computed Tomography,"Wedekind, Markus;Castillo, Susana;",《Journal of Nondestructive Evaluation》,"2023,",
327,Parallel border tracking in binary images for multicore computers,Victor M. Garcia-Mol...;Pedro Alonso-Jorda;,《Journal of supercomputing》,"2023,",
328,(116790)Modeling of the ZrO2-SiO2-Al2O3 phase diagram using simulation by the 3D computer model and the NUCLEA database,Vorob'eva V.;Zelenaya A.;,"《Materials Science & Engineering, B. Solid-State Materials for Advanced Technology》","2023,",
329,COMPUTER-AIDED SELECTION OF THE STABILISING SYSTEM PARAMETERS OF THE MOBILE TRANSPORT AND ASSEMBLY MANIPULATOR IN MINING EXCAVATIONS,"Krauze, Krzysztof;Klempka, Ryszard;",《Archives of Mining Sciences》,"2023,",
330,Swap Test-based characterization of decoherence in universal quantum computers,Ripper Pedro;Amaral Gustavo;,《Quantum information processing》,"2023,",
331,Crack detection and crack segmentation in concrete beams undergoing mode I fracture using computer vision and convolutional neural network,Pranay Singh;P.N. Ojha;,《Canadian Journal of Civil Engineering》,"2023,",
332,Inverse Analysis of Subgrade Reaction Coefficient of Subway Based on Computer Neural Network,"Miao, Jie;Wang, Feipeng;",《Geotechnical and geological engineering》,"2023,",
333,A Programmable True Random Number Generator Using Commercial Quantum Computers,Aviraj Sinha;Elena R. Henderson;,"《Quantum Information Science, Sensing, and Computation XV: At SPIE Defense + Commercial Sensing.Orlando, Florida, United States.3-4 May 2023》","2023,",
334,Double-face intelligent hole position planning method for precision blasting in roadways using a computer-controlled drill jumbo,"Wu, Haojun;Gong, Min;","《International Journal of Minerals,Metallurgy and Materials》","2023,",
335,Study of rock damage characteristics in decoupled slit charge blasting based on computer tomography scanning,"Yang, Renshu;You, Yuanyuan;",《Engineering Fracture Mechanics》,"2023,",
336,Computer modeling of Young's modulus and thermal conductivity changes during sintering without shrinkage,"Simonova, Petra;Uhlirova, Tereza;",《Journal of the European Ceramic Society》,"2023,",
337,Application of computer methods for the effects of nanoparticles on the frequency of the concrete beams experimentally and numerically,"Song, Chencheng;Shi, Junfeng;",《Steel & Composite Structures: An International Journal》,"2023,",
338,Organochlorine pesticides induce thyroid tumors through oxidative stress; an in vivo and in silico study,Salimi Fouzieh;Asadikaram Gholamrez...;,《Environmental Science and Pollution Research》,"2023,",
339,"Quantum Computers for Weather and Climate Prediction The Good, the Bad, and the Noisy","Tennie, F.;Palmer, T. N.;",《Bulletin of the American Meteorological Society》,"2023,",
340,Use of Single Board Computers in Hardware-in-the-Loop Systems for Education in Renewable Energy Systems,Derk Gonschor;Philipp Schmitz;,"《PESS + PELSS 2022: Power and Energy Student Summit, 2-4 November 2022 in Kassel, Germany》","2023,",
341,Toward implementing efficient image processing algorithms on quantum computers,Yan Fei;Venegas-Andraca Salv...;,"《Soft computing: A fusion of foundations, methodologies and applications》","2023,",
342,Quantum image processing on real superconducting and trapped-ion based quantum computers,"Geng, Alexander;Moghiseh, Ali;","《Technisches Messen: Sensoren, Gerate, Systeme》","2023,",
343,"Computers and human behavior in the smart city: Issues, topics, and new research directions","Visvizi, Anna;",《Computers in human behavior》,"2023,",
344,Direct observation of C3S particle dissolution using fast nano X-ray computed tomography,Li X.;Hu Q.;,《Cement and Concrete Research》,"2023,",
345,Cone-beam computed tomography based on truncated adaptive-weight total variation,Liu Y.;Zhang P.;,《NDT & E International: Independent Nondestructive Testing and Evaluation》,"2023,",
346,3D Quantitative Mineral Characterization of Particles Using X-ray Computed Tomography,"Godinho, Jose Ricard...;Hassanzadeh, Ahmad;",《Natural resources research》,"2023,",
347,Structure Analysis of Pellets with Different Reduction Degrees Using X‐Ray Micro‐Computed Tomography,Hao Nie;Bing Qi;,《Steel Research International》,"2023,",
348,"КОМПЬЮТЕРНЫЕ МОДЕЛИ БИОМАТЕРИАЛОВ, ПРИМЕНЯЕМЫХ ДЛЯ ИЗГОТОВЛЕНИЯ СТВОРЧАТОГО АППАРАТА ПРОТЕЗОВ КЛАПАНОВ СЕРДЦА",П.С. ОНИЩЕНКО;Т.В. ГЛУШКОВА;,《Материаловедение》,"2023,",
349,"Kinetic model derivation for design, building and operation of solid waste treatment unit based on system dynamics and computer simulation",Hu D.;Li S.;,《Waste Management》,"2023,",
350,Life cycle assessment of ICT in higher education: a comparison between desktop and single-board computers,Philippe Loubet;Adrien Vincent;,《The international journal of life cycle assessment》,"2023,",
351,An exhaustive review on intelligent computer-aided process planning in context with various optimisation techniques (OPTE-2021-1994),Sathish Kumar Adapa;Jagadish;,《International journal of materials & product technology》,"2023,",
352,An efficient parametrized optical infrared thermography 3D finite element framework for computer vision applications,Tong Z.;Hedayatrasa S.;,《NDT & E International: Independent Nondestructive Testing and Evaluation》,"2023,",
353,D-NISQ: A reference model for Distributed Noisy Intermediate-Scale Quantum computers,"Acampora, Giovanni;Di Martino, Ferdinan...;",《Information Fusion》,"2023,",
354,Nondestructive Testing of an Aluminum Alloy Welded Joint Based on a Mathematical Model of the Thermal Welding Process and Computer Microtomography,"Syryamkin, V. I.;Khilchuk, M. D.;",《Russian Journal of Nondestructive Testing》,"2023,",
355,"Maszyny Matematyczne, women, and computing: The birth of computers in the Polish communist era",Carla Petrocelli;,"《History of Science: A Review of Literature and Research in the History of Science, Medicine and Technology in Its Intellectual and Social Context》","2023,",
356,,;;,,,
357,,;;,,,
358,,;;,,,
359,,;;,,,
360,,;;,,,
361,,;;,,,
362,,;;,,,
363,,;;,,,
364,Nondestructive Testing of an Aluminum Alloy Welded Joint Based on a Mathematical Model of the Thermal Welding Process and Computer Microtomography,"Syryamkin, V. I.;Khilchuk, M. D.;",《Russian Journal of Nondestructive Testing》,"2023,",
365,"Maszyny Matematyczne, women, and computing: The birth of computers in the Polish communist era",Carla Petrocelli;,"《History of Science: A Review of Literature and Research in the History of Science, Medicine and Technology in Its Intellectual and Social Context》","2023,",
366,A counterexample to a conjecture on simultaneous Waring identifiability,"Angelini, Elena;",《Journal of symbolic computation》,"2024,",
367,POTENTIAL SECURITY ATTACKS VIA THE ILLEGAL DISTRIBUTION OF SINGLE BOARD COMPUTERS,I. V. Kalinin;,"《22nd International Multidisciplinary Scientific GeoConference(SGEM 2022): Informatices, Geoinformatics, and Remote Sensing: Albena, Bulgaria, 4-10 July 2022》","2023,",
368,Quantum computers may have found a practical use,Alex Wilkins;,《New scientist》,"2023,",
369,Co-Designed Architectures for Modular Superconducting Quantum Computers,Evan McKinney;Mingkang Xia;,"《2023 IEEE International Symposium on High-Performance Computer Architecture: IEEE International Symposium on High-Performance Computer Architecture (HPCA), 25 February - 1 March 2023, Montreal, QC, Canada》","2023,",
370,AUTOMATED DETECTION OF PAVEMENT DEFECTS USING COMPUTER VISION,Michal Prochazka;Robert Pinkas;,"《22nd International Multidisciplinary Scientific GeoConference(SGEM 2022): Informatices, Geoinformatics, and Remote Sensing: Albena, Bulgaria, 4-10 July 2022》","2023,",
371,Computers as Interactive Machines: Can We Build an Explanatory Abstraction?,Alice Martin;Mathieu Magnaudet;,《Minds and machines》,"2023,",
372,Comparison of heuristic approaches to PCI planning for Quantum Computers,Giuseppe Barillaro;Andrea Boella;,"《2023 IEEE International Conference on Consumer Electronics: IEEE International Conference on Consumer Electronics (ICCE), 6-8 January 2023, Las Vegas, NV, USA》","2023,",
373,Noisy intermediate-scale quantum computers,Bin Cheng;Xiu-Hao Deng;,《Frontiers of physics》,"2023,",
374,Unified Programming Models for Heterogeneous High-Performance Computers,马子轩;金煜阳;,《计算机科学技术学报：英文版》,"2023,",
375,COMPUTER SIMULATION USE IN DESIGN GATING SYSTEM OF CAST MADE FROM THE CAST IRON,Ing. Peter Futas;Vladimir Sabik;,"《22nd International Multidisciplinary Scientific GeoConference(SGEM 2022): Informatices, Geoinformatics, and Remote Sensing: Albena, Bulgaria, 4-10 July 2022》","2023,",
376,Detecting Height of Liquid Level with Computer Vision for Twin-roll Strip Casting,"Chen, Dong;Tang, Yang;",《ISIJ International》,"2023,",
377,Evaluation of the manufacturability of aluminum alloy 1580 for sheet stamping by computer modeling,I. L. Konstantinov;S. B. Sidelnikov;,《Non-Ferrous Metals》,"2023,",
378,Augmented reality-computer vision combination for automatic fatigue crack detection and localization,"Mohammadkhorasani, A...;Malek, Kaveh;",《Computers in Industry》,"2023,",
379,Finite element computer simulation of twinning caused by plastic deformation of sheet metal,"Dong, Fuyuan;Xu, Wang;",《Steel & Composite Structures: An International Journal》,"2023,",
380,A systematic and bibliometric review of the latest techniques in quantum-dot computers,"Li, Shenghao;Wu, Yuanyuan;",《Optik: Zeitschrift fur Licht- und Elektronenoptik: = Journal for Light-and Electronoptic》,"2023,",
381,Grammar-aware sentence classification on quantum computers,"Meichanetzidis, Kons...;Toumi, Alexis;",《Quantum Machine Intelligence》,"2023,",
382,Feature selection on quantum computers,"Muecke, Sascha;Heese, Raoul;",《Quantum Machine Intelligence》,"2023,",
383,Application of computer algorithms for modelling and numerical solution of dynamic bending,"Qiu, Jianzhong;Dai, Naichang;",《Steel & Composite Structures: An International Journal》,"2023,",
384,Kronos: towards bus contention-aware job scheduling in warehouse scale computers,Shuai XUE;Shang ZHAO;,《中国计算机科学前沿：英文版》,"2023,",
385,Wspomaganie komputerowe procesu wtryskiwania spieniajacego wyprasek wysoko estetycznych dla branzy automotive,JAKUB WAWRZYNIAK;,《Inzynieria Materialowa》,"2023,",
386,Feature-Sensitive Ring Artifact Correction for Computed Tomography,"Wedekind, Markus;Castillo, Susana;",《Journal of Nondestructive Evaluation》,"2023,",
387,Parallel border tracking in binary images for multicore computers,Victor M. Garcia-Mol...;Pedro Alonso-Jorda;,《Journal of supercomputing》,"2023,",
388,(116790)Modeling of the ZrO2-SiO2-Al2O3 phase diagram using simulation by the 3D computer model and the NUCLEA database,Vorob'eva V.;Zelenaya A.;,"《Materials Science & Engineering, B. Solid-State Materials for Advanced Technology》","2023,",
389,COMPUTER-AIDED SELECTION OF THE STABILISING SYSTEM PARAMETERS OF THE MOBILE TRANSPORT AND ASSEMBLY MANIPULATOR IN MINING EXCAVATIONS,"Krauze, Krzysztof;Klempka, Ryszard;",《Archives of Mining Sciences》,"2023,",
390,Swap Test-based characterization of decoherence in universal quantum computers,Ripper Pedro;Amaral Gustavo;,《Quantum information processing》,"2023,",
391,Crack detection and crack segmentation in concrete beams undergoing mode I fracture using computer vision and convolutional neural network,Pranay Singh;P.N. Ojha;,《Canadian Journal of Civil Engineering》,"2023,",
392,Inverse Analysis of Subgrade Reaction Coefficient of Subway Based on Computer Neural Network,"Miao, Jie;Wang, Feipeng;",《Geotechnical and geological engineering》,"2023,",
393,A Programmable True Random Number Generator Using Commercial Quantum Computers,Aviraj Sinha;Elena R. Henderson;,"《Quantum Information Science, Sensing, and Computation XV: At SPIE Defense + Commercial Sensing.Orlando, Florida, United States.3-4 May 2023》","2023,",
394,Double-face intelligent hole position planning method for precision blasting in roadways using a computer-controlled drill jumbo,"Wu, Haojun;Gong, Min;","《International Journal of Minerals,Metallurgy and Materials》","2023,",
395,Study of rock damage characteristics in decoupled slit charge blasting based on computer tomography scanning,"Yang, Renshu;You, Yuanyuan;",《Engineering Fracture Mechanics》,"2023,",
396,Computer modeling of Young's modulus and thermal conductivity changes during sintering without shrinkage,"Simonova, Petra;Uhlirova, Tereza;",《Journal of the European Ceramic Society》,"2023,",
397,Application of computer methods for the effects of nanoparticles on the frequency of the concrete beams experimentally and numerically,"Song, Chencheng;Shi, Junfeng;",《Steel & Composite Structures: An International Journal》,"2023,",
398,Organochlorine pesticides induce thyroid tumors through oxidative stress; an in vivo and in silico study,Salimi Fouzieh;Asadikaram Gholamrez...;,《Environmental Science and Pollution Research》,"2023,",
399,"Quantum Computers for Weather and Climate Prediction The Good, the Bad, and the Noisy","Tennie, F.;Palmer, T. N.;",《Bulletin of the American Meteorological Society》,"2023,",
400,Use of Single Board Computers in Hardware-in-the-Loop Systems for Education in Renewable Energy Systems,Derk Gonschor;Philipp Schmitz;,"《PESS + PELSS 2022: Power and Energy Student Summit, 2-4 November 2022 in Kassel, Germany》","2023,",
401,Toward implementing efficient image processing algorithms on quantum computers,Yan Fei;Venegas-Andraca Salv...;,"《Soft computing: A fusion of foundations, methodologies and applications》","2023,",
402,Quantum image processing on real superconducting and trapped-ion based quantum computers,"Geng, Alexander;Moghiseh, Ali;","《Technisches Messen: Sensoren, Gerate, Systeme》","2023,",
403,"Computers and human behavior in the smart city: Issues, topics, and new research directions","Visvizi, Anna;",《Computers in human behavior》,"2023,",
404,Direct observation of C3S particle dissolution using fast nano X-ray computed tomography,Li X.;Hu Q.;,《Cement and Concrete Research》,"2023,",
405,Cone-beam computed tomography based on truncated adaptive-weight total variation,Liu Y.;Zhang P.;,《NDT & E International: Independent Nondestructive Testing and Evaluation》,"2023,",
406,3D Quantitative Mineral Characterization of Particles Using X-ray Computed Tomography,"Godinho, Jose Ricard...;Hassanzadeh, Ahmad;",《Natural resources research》,"2023,",
407,Structure Analysis of Pellets with Different Reduction Degrees Using X‐Ray Micro‐Computed Tomography,Hao Nie;Bing Qi;,《Steel Research International》,"2023,",
408,"КОМПЬЮТЕРНЫЕ МОДЕЛИ БИОМАТЕРИАЛОВ, ПРИМЕНЯЕМЫХ ДЛЯ ИЗГОТОВЛЕНИЯ СТВОРЧАТОГО АППАРАТА ПРОТЕЗОВ КЛАПАНОВ СЕРДЦА",П.С. ОНИЩЕНКО;Т.В. ГЛУШКОВА;,《Материаловедение》,"2023,",
409,"Kinetic model derivation for design, building and operation of solid waste treatment unit based on system dynamics and computer simulation",Hu D.;Li S.;,《Waste Management》,"2023,",
410,Life cycle assessment of ICT in higher education: a comparison between desktop and single-board computers,Philippe Loubet;Adrien Vincent;,《The international journal of life cycle assessment》,"2023,",
411,An exhaustive review on intelligent computer-aided process planning in context with various optimisation techniques (OPTE-2021-1994),Sathish Kumar Adapa;Jagadish;,《International journal of materials & product technology》,"2023,",
412,An efficient parametrized optical infrared thermography 3D finite element framework for computer vision applications,Tong Z.;Hedayatrasa S.;,《NDT & E International: Independent Nondestructive Testing and Evaluation》,"2023,",
413,D-NISQ: A reference model for Distributed Noisy Intermediate-Scale Quantum computers,"Acampora, Giovanni;Di Martino, Ferdinan...;",《Information Fusion》,"2023,",
414,Nondestructive Testing of an Aluminum Alloy Welded Joint Based on a Mathematical Model of the Thermal Welding Process and Computer Microtomography,"Syryamkin, V. I.;Khilchuk, M. D.;",《Russian Journal of Nondestructive Testing》,"2023,",
415,"Maszyny Matematyczne, women, and computing: The birth of computers in the Polish communist era",Carla Petrocelli;,"《History of Science: A Review of Literature and Research in the History of Science, Medicine and Technology in Its Intellectual and Social Context》","2023,",
424,Nondestructive Testing of an Aluminum Alloy Welded Joint Based on a Mathematical Model of the Thermal Welding Process and Computer Microtomography,"Syryamkin, V. I.;Khilchuk, M. D.;",《Russian Journal of Nondestructive Testing》,"2023,",
425,"Maszyny Matematyczne, women, and computing: The birth of computers in the Polish communist era",Carla Petrocelli;,"《History of Science: A Review of Literature and Research in the History of Science, Medicine and Technology in Its Intellectual and Social Context》","2023,",
426,改进蚁群算法的火灾环境疏散路径规划研究,杜云;刘小雨;贾科进;丁力;黄公发,计算机工程与应用,2024-01-05 21:02,
427,一种基于双重语义协作网络的图像描述方法,江泽涛;朱文才;金鑫;廖培期;黄景帆,计算机研究与发展,2024-01-05 21:00,
428,基于增强嵌入特征超图学习的恶意域名检测方法,魏金侠;龙春;付豪;宫良一;赵静;,计算机研究与发展,2024-01-05 20:59,
429,知识图谱补全方法研究综述,张文豪;徐贞顺;刘纳;王振彪;唐增金;,计算机工程与应用,2024-01-05 20:42,
430,微反应器内阳离子聚合研究进展,何宇航;谢丹;吕阳成,化工学报,2024-01-05 19:16,
431,考虑转移时间的多目标双资源柔性作业车间节能调度,魏光艳;叶春明,计算机集成制造系统,2024-01-05 19:09,
432,面向非平行语料的语音转换技术综述,李鹏程;张旭龙;王健宗;程宁;肖京,大数据,2024-01-05 18:20,
433,沙尘图像视觉增强技术综述,司亚中;张旭龙;杨帆;王健宗;程宁;,大数据,2024-01-05 17:41,
434,内蒙古光伏开发空间适宜性及减排效益研究,徐伟;刘振领,干旱区地理,2024-01-05 17:33,
435,InternDiffuseDet:结合可变形卷积和扩散模型的目标检测方法,袁志祥;高永奇,计算机工程与应用,2024-01-05 17:29,
436,MBRNet:融合残差连接的多分支手写字符识别网络,李钢;陈太兵;杨之博;范屹;张玲,计算机工程与应用,2024-01-05 17:29,
437,碳纤维复合材料超声振动辅助钻孔工艺参数多目标优化方法,秦国华;赖晓春;金杨杨;王华敏,计算机集成制造系统,2024-01-05 16:32,
438,分布式异构混合流水车间生产与运输集成调度,李颖俐;刘翱;邓旭东,计算机集成制造系统,2024-01-05 16:00,
439,在局部坐标系下的平面线段距离求解算法,张航城;刘懿;代凯;宋天琦;王乐;,计算机辅助设计与图形学学报,2024-01-05 15:27,
440,基于神经网络的无人直升机多故障容错控制设计,阎坤;赵金泽;陈超波;高嵩;曹凯,北京航空航天大学学报,2024-01-05 14:35,
441,x86处理器向量条件访存指令安全脆弱性分析,李丹萍;朱子元;史岗;孟丹,计算机学报,2024-01-05 14:08,
442,高分子材料与工程专业“互联网+人文素养”教学改革研究,廖云;王孟;曾科;单德才,高教学刊,2024-01-05,
443,基于百度飞桨平台的计算机视觉课程改革与实践,潘刚;丁进;孙迪,高教学刊,2024-01-05,
444,数字生命的伦理反思——以“流浪地球”系列科幻电影为例,许伟,视听,2024-01-05,
445,计算机网络的运行及维护策略研究,马康白,网络安全技术与应用,2024-01-05,
446,论数据加密技术在计算机网络安全中的应用,李荣;夏天勇;张琪;扈莎莎,网络安全技术与应用,2024-01-05,
447,大数据在计算机网络安全防范中的应用分析,金晶;郭文强,网络安全技术与应用,2024-01-05,
448,基于云计算的计算机网络安全存储系统设计,蒋广慧;尹智鹏,网络安全技术与应用,2024-01-05,
449,基于计算思维的高中信息技术项目教学模式研究,张长水,天津师范大学学报(基础教育版),2024-01-05,
450,基于BP神经网络的云南花卉物流需求预测,贺梦桐;张凌,物流科技,2024-01-05,
451,时标上的Clifford值概周期函数与动力方程的Clifford值概周期解,赵莉莉,河北师范大学学报(自然科学版),2024-01-05,
452,公共场所火灾防控技术研究综述,王宇诗;孙海洋;郝新宇;胡钰童;金佩剑,石材,2024-01-05,
453,计算机网络中Web信息智能抽取系统的设计及测试分析,任娟,科学技术创新,2024-01-05,
454,Intelligent characterization of complex cracks in strain-hardening cementitious composites based on generative computer vision,Guo Pengwei;Meng Weina;Bao Yi,Construction and Building Materials,2024-01-05,
455,Autonomous detection of steel corrosion spatial variability in reinforced concrete using X-ray technology and deep learning-based semantic segmentation,Xin Jiyu;Akiyama Mitsuyoshi;Frangopol Dan M.,Automation in Construction,2024-01-05,
456,Study of permeability and permittivity of [formula omitted]-Fe[formula omitted]O[formula omitted] using computer simulation method,Sun Wang;Li Liang-Sheng;Yin Hong-Cheng;Chen Wei,Computational Materials Science,2024-01-05,
457,Cryogenic damage mechanisms of CFRP laminates based on in-situ X-ray computed tomography characterization,Li Yuanchen;Meng Jinxin;Niu Guohao;Yang Heng;Wang Panding,Composites Science and Technology,2024-01-05,
458,An Improved Inception Network to classify black tea appearance quality,Guo Jiaming;Liang Jianhua;Xia Hongling;Ma Chengying;Lin Jicheng,Journal of Food Engineering,2024-01-05,
459,Multimodel fore-/background alignment for seam-based parallax-tolerant image stitching,Zhang Zhihao;He Jie;Shen Mouquan;Shi Jiantao;Yang Xianqiang,Computer Vision and Image Understanding,2024-01-05,
460,A design and analysis of computer experiments based mixed integer linear programming approach for optimizing a system of electric vehicle charging stations,Chawal Ukesh;Rosenberger Jay;Chen Victoria C.P.;Lee Wei J.;Wijemanne Mewan,Expert Systems With Applications,2024-01-05,
461,IoT-based automatic deep learning model generation and the application on Empty-dish Recycling Robots,Ge Yifei;Li Zhuo;Yue Xuebin;Li Hengyi;Li Qi,Internet of Things,2024-01-05,
462,"Dataset of clinical cases, images, image labels and captions from open access case reports from PubMed Central (1990–2023)",Nievas Offidani Mauro Andrés;Delrieux Claudio Augusto,Data in Brief,2024-01-05,
463,Urethra contouring on computed tomography urethrogram versus magnetic resonance imaging for stereotactic body radiotherapy in prostate cancer,Ong Wee Loon;Allan Hupman M.;Davidson Melanie;Ruschin Mark;Detsky Jay,Clinical and Translational Radiation Oncology,2024-01-05,
464,Fracture cracks localization in machined H13 tool steel using computer vision algorithms,Mishra Akshansh;Jatti Vijaykumar S.;Khedkar Nitin K.,Science Talks,2024-01-05,
465,Improving detection of asphalt distresses with deep learning-based diffusion model for intelligent road maintenance,Cano-Ortiz Saúl;Lloret Iglesias Lara;Martinez Ruiz del Árbol Pablo;Castro-Fresno Daniel,Developments in the Built Environment,2024-01-05,
466,Computer vision-based plants phenotyping: A comprehensive survey,Meraj Talha;Sharif Muhammad Imran;Raza Mudassar;Alabrah Amerah;Kadry Seifedine,iScience,2024-01-05,
467,"Functionalized methoxy quinoline derivatives: Experimental and in silico evaluation as new antiepileptic, anti-Alzheimer, antibacterial and antifungal drug candidates",Çi̇ftci̇ Bilge;Ökten Salih;Koçyi̇ği̇t Ümit Muhammet;Atalay Vildan Enisoğlu;Ataş Mehmet,European Journal of Medicinal Chemistry Reports,2024-01-05,
468,Computer-controlled ultra high voltage amplifier for dielectric elastomer actuators,Wiranata Ardi;Mao Zebing;Kuwajima Yu;Yamaguchi Yuya;Muflikhun Muhammad Akhsin,Biomimetic Intelligence and Robotics,2024-01-05,
469,Application of computer simulation to model transient vibration responses of GPLs reinforced doubly curved concrete panel under instantaneous heating,Zhao Yinghao;Dai Wenjun;Wang Zeyu;Ragab Adham E.,Materials Today Communications,2024-01-05,
470,Wear mechanisms and severity level classification in iron ore transfer chute linings by propagating regional labels coded as embedding deep learning vectors,Valenzuela B.;Viáfara C.C.;Penagos J.J.;Martínez F.,Materials Today Communications,2024-01-05,
471,Automatic elevator shaft inspection using a multi-sensor measuring system and computer vision techniques,Alexandros Vrochidis;Paschalis Charalampous;Nikolaos Dimitriou;Nikolaos Kladovasilakis;Michael Chatzakis,Journal of Building Engineering,2024-01-05,
472,Machine learning-based q-RASAR approach for the in silico identification of novel multi-target inhibitors against Alzheimer's disease,Kumar Vinay;Banerjee Arkaprava;Roy Kunal,Chemometrics and Intelligent Laboratory Systems,2024-01-05,
473,"Withdrawal notice to ‘Time pressure in human cybersecurity behavior: Theoretical framework and countermeasures’ [Computers & Security, 97 (2020) 101931]",Chowdhury Noman H.;Adam Marc T.P.;Teubner Timm,Computers & Security,2024-01-05,
474,A multi-species pest recognition and counting method based on a density map in the greenhouse,Zhang Zhiqin;Rong Jiacheng;Qi Zhongxian;Yang Yan;Zheng Xiajun,Computers and Electronics in Agriculture,2024-01-05,
475,Mixed approximation of nonlinear acoustic equations: Well-posedness and a priori error analysis,Meliani Mostafa;Nikolić Vanja,Applied Numerical Mathematics,2024-01-05,
476,Antimetastatic lung cancer therapy using alkaloid Piperlongumine noncovalently bound to С60 fullerene,Horak Iryna;Skaterna Tetiana;Lugovskyi Serhii;Krysiuk Iryna;Tykhomyrov Artem,Journal of Drug Delivery Science and Technology,2024-01-05,
477,A survey on algorithms for Nash equilibria in finite normal-form games,Li Hanyu;Huang Wenhan;Duan Zhijian;Mguni David Henry;Shao Kun,Computer Science Review,2024-01-05,
478,pikoe: A computer program for distorted-wave impulse approximation calculation for proton induced nucleon knockout reactions,Ogata Kazuyuki;Yoshida Kazuki;Chazono Yoshiki,Computer Physics Communications,2024-01-05,
479,Novel computer vision tools applied to marine recreational fisheries spatial planning,Signaroli Marco;Lana Arancha;Alós Josep,Fisheries Research,2024-01-05,
480,In silico identification and molecular mechanism of novel egg white-derived tyrosinase inhibitory peptides,Yu Zhipeng;Fu Li;Zhang Qian;Zhao Wenzhu,Food Bioscience,2024-01-05,
481,"Alleviation of carbendazim toxicity effect by Moringa oleifera oil and Linum usitatissimum L. oil on testes of male rats: Physiological, histological and in silico study",Hashim Muhammad;Al-Attar Atef M.;Alomar Mohammed Y.;Shaikh Omar Abdulkader M.;Alkenani Naser A.,Saudi Journal of Biological Sciences,2024-01-05,
482,Understanding the impact of computer-based technology storytelling for help seeking and help receiving among victims' of flood disaster,Luo Xian;Lu Jingfu;Apuke Oberiri Destiny,Computers in Human Behavior,2024-01-05,
483,"Unifying radiative transfer models in computer graphics and remote sensing, Part II: A differentiable, polarimetric forward model and validation",Salesin Katherine;Knobelspiesse Kirk D.;Chowdhary Jacek;Zhai Peng-Wang;Jarosz Wojciech,Journal of Quantitative Spectroscopy and Radiative Transfer,2024-01-05,
484,“人社政策计算器”新升级,王芳,珠海特区报,2024-01-05,
485,中韩企业抢占OLED制高点,谷月,中国电子报,2024-01-05,
486,部分存储器价格仍有上调空间,姬晓婷,中国电子报,2024-01-05,
487,一种基于0.18μm SiGe BiCMOS工艺的高线性混频器,段昊阳;权海洋;王盟皓;魏慧婷;张秋艳;,微电子学与计算机,2024-01-04 21:56,
488,基于机器视觉的变电站数字化违章行为三维虚拟周界监测方法,汪晨;孙伟;郑蓓;吕灯明,微电子学与计算机,2024-01-04 21:52,
489,基于Transformer-BiLSTM特征融合的DNA结合蛋白预测方法,钟来民;陆卫忠;傅启明;马洁明;崔志明;,微电子学与计算机,2024-01-04 21:47,
490,处理器性能波动检测的计时方法及评价指标,廖秋承;左思成;王一超;林新华,计算机学报,2024-01-04 21:07,
491,区块链系统安全防护技术研究进展,刘敖迪;杜学绘;王娜;吴翔宇;单棣斌;,计算机学报,2024-01-04 21:03,
492,基于不确定性估计的离线确定型Actor-Critic,冯涣婷;程玉虎;王雪松,计算机学报,2024-01-04 21:01,
493,程序算法识别研究综述,张雅雯;张丽萍;闫盛;魏敏,计算机应用研究,2024-01-04 20:33,
494,基于BP神经网络的隧道围岩参数反演分析,张俊武;牛洪军;张朋举;刘小军,路基工程,2024-01-04 20:10,
495,基于PathSim的MOOCs知识概念推荐模型,祝义;居程程;郝国生,计算机科学与探索,2024-01-04 20:09,
496,集成电路未来发展与关键问题——第347期“双清论坛(青年)”学术综述,陈云霁;蔡一茂;汪玉;唐华;何杰;,中国科学:信息科学,2024-01-04 19:14,
497,面向天河新一代超算系统通用处理器的性能分析工具集,冯文韬;栾钟治;杨海龙;钱德沛,计算机学报,2024-01-04 17:39,
